"10.22.23.11","8543","YSL","Prod","10020180","HSBC UK Retail PreProd","ukprod021","releasevalue_kalam_5_10_","No information found in Load Balancer",\N,"UP"
"10.22.23.12","8443","REST","Prod","10018988","ING NED","ukprod021","","10.22.28.23:443:vs_10018816_hsbcuk_rest_int_https:external:p_11_12_8443;10.22.28.70:443:vs_10020180_hsbc-uk_rest_int_https:external:p_11_12_8443;169.50.93.104:443:vs_10018816_hsbcuk_rest_https:external:p_11_12_8443",\N,"UP"
"10.22.23.12","8443","REST","Prod","10019108","HSBC UK Retail","ukprod021","","10.22.28.23:443:vs_10018816_hsbcuk_rest_int_https:external:p_11_12_8443;10.22.28.70:443:vs_10020180_hsbc-uk_rest_int_https:external:p_11_12_8443;169.50.93.104:443:vs_10018816_hsbcuk_rest_https:external:p_11_12_8443",\N,"UP"
"10.22.23.12","8443","REST","Prod","10020180","HSBC UK Retail PreProd","ukprod021","","10.22.28.23:443:vs_10018816_hsbcuk_rest_int_https:external:p_11_12_8443;10.22.28.70:443:vs_10020180_hsbc-uk_rest_int_https:external:p_11_12_8443;169.50.93.104:443:vs_10018816_hsbcuk_rest_https:external:p_11_12_8443",\N,"UP"
"10.22.23.12","8543","YSL","Prod","10018988","ING NED","ukprod021","releasevalue_kalam_5_10_","No information found in Load Balancer",\N,"UP"
"10.22.23.12","8543","YSL","Prod","10019108","HSBC UK Retail","ukprod021","releasevalue_kalam_5_10_","No information found in Load Balancer",\N,"UP"
"10.22.23.12","8543","YSL","Prod","10020180","HSBC UK Retail PreProd","ukprod021","releasevalue_kalam_5_10_","No information found in Load Balancer",\N,"UP"
"10.22.23.12","8643","REST","Prod","10018988","ING NED","ukprod021","","10.22.28.43:443:vs_10019464_castlight_rest_int_https:external:p_29_30_8443;169.50.93.110:443:vs_10019464_castlight_rest_https:external:p_29_30_8443",\N,"UP"
"10.22.23.12","8643","REST","Prod","10019464","Castlight","ukprod021","","10.22.28.43:443:vs_10019464_castlight_rest_int_https:external:p_29_30_8443;169.50.93.110:443:vs_10019464_castlight_rest_https:external:p_29_30_8443",\N,"UP"
"10.22.23.13","8443","REST","Prod","10018988","ING NED","ukprod021","","10.22.28.28:443:vs_10019068_acctech_rest_int_https:external:P23_13_14_8443;10.22.28.54:443:vs_10019552_denizen_rest_int_https:external:P23_13_14_8443;10.22.28.58:443:vs_10019568_castlight365_rest_int_https:external:P23_13_14_8443;10.22.28.64:443:vs_10019760_rnm-financial_rest_int_https:external:p23_13_14_8443;10.22.28.66:443:vs_10019556_peaks_rest_int_https:external:p23_13_14_8443;10.22.28.68:443:vs_10019152_sammediauk_rest_int_https:external:p23_13_14_8443;10.22.28.72:443:vs_10020192_sagebanking-cloud_rest_int_https:external:P23_13_14_8443;185.150.176.65:443:vs_10019068_acctech_rest_https:external:P23_13_14_8443;185.150.176.68:443:vs_10019552_denizen_rest_https:external:P23_13_14_8443;185.150.176.72:443:vs_10019568_castlight365_rest_https:external:P23_13_14_8443;185.150.176.74:443:vs_10019760_rnm-financial_rest_https:external:p23_13_14_8443;185.150.176.81:443:vs_10019556_peaks_rest_https:external:p23_13_14_8443;185.150.176.83:443:vs_10019152_sammediauk_rest_https:external:p23_13_14_8443;185.150.176.87:443:vs_10020192_sagebanking-cloud_rest_https:external:P23_13_14_8443",\N,"UP"
